X,Y,osm_id,landuse,sport,leisure,power,building,amenity,religion,denomination,name,access,surface,area,highway,natural,public_transport,railway,operator,ref,man_made,addr:housenumber,barrier,substation,hgv,bus,parking,station,wikidata,network,light_rail,voltage,location,leaf_cycle,leaf_type,material,height,building:colour,addr:city,roof:colour,roof:shape,roof:orientation,addr:street,short_name,addr:postcode,crop,emergency,industrial,produce,lit,frequency,fence_type,swimming_pool
-8.67635401192575,41.2802015775078,438539422,farmland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67663507263047,41.2804277865485,438539423,farmland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67797613375802,41.2805486587661,438539426,meadow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67722147515834,41.2806350698773,438539424,farmland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67568954020036,41.2785462831238,438539421,farmland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.6752230173077,41.2784312691597,438539420,farmland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67528127879715,41.2789501588923,438539419,farmland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67470898067338,41.2789722630787,438539418,meadow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67429452178565,41.2785323203392,332275587,meadow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67419068290969,41.2789704602359,332275627,meadow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67549285717261,41.2807125998999,407214335,,,,,,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.6754110603224,41.2806108497059,407214336,,,,,,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67437370463597,41.2800337486712,333030158,farmland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67478647530276,41.2807408558641,407214338,,,,,,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67459715809728,41.2810683215454,331239813,industrial,,,,,,,,Zona Industrial de Mosteiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67262630307468,41.2767050704844,333030203,allotments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67315296515199,41.2782985626793,405891908,allotments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.6717638552457,41.2773738557803,408826352,allotments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67135176054596,41.2775673157516,408826349,farmland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67099373636445,41.277570091807,407491246,allotments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67099808319459,41.2777055857326,407491245,allotments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67226788167186,41.2780239604961,406778591,allotments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67149775039054,41.2777390554454,407491243,allotments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67133173788925,41.2783738985908,405892455,,,garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67095152411332,41.2784211647586,331241831,allotments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.66825348535133,41.276904293277,407216933,farmland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67073169013592,41.2774641650339,407209975,allotments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67087575465434,41.2778501469244,407209980,allotments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67066271792849,41.2777660664633,407491247,allotments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67081953756139,41.2779805039718,407209978,allotments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67089182367939,41.2781662039393,407209979,allotments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67356408264623,41.2788704906893,332275611,allotments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67285776678347,41.2783484904037,405891914,allotments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.6725710057995,41.2784268125419,406778592,farmland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67277194097766,41.2788912926689,405891919,allotments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67238720191187,41.2788680385223,331241750,allotments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67305786769366,41.2793692425603,405891921,allotments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67290515497882,41.279158342878,405891920,allotments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67253849292265,41.2792943132543,331241685,allotments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.6727698938886,41.2794638999673,332275424,allotments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67211640985198,41.2785614744528,406778593,farmland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67112640750276,41.2785826444322,405892454,,,playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67155732428515,41.2788722571028,258994229,,,garden,,,,,,Largo da Lameira,,,,,,,,,,,,,,,,,,,,,,,mixed,mixed,,,,,,,,,,,,,,,,,,
-8.6722904792205,41.2793467534925,331241726,allotments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
